order_id,customer_id,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,dias_estimados_entrega,dias_reales_entrega,demora_transporte,entrega_puntual,precio_promedio,costo_envio_total,peso_promedio,volumen_promedio,customer_state,seller_state,payment_type,payment_installments,review_score
2017-09-13 08:59:02.0000000,2017-09-20 23:43:48.0000000,2017-09-29,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000007,1.0,1,5890,0,1329.0,0,650.0,3528.0,RJ,SP,credit_card,2.0,5.0
2017-04-26 10:53:06.0000000,2017-05-12 16:04:24.0000000,2017-05-15,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000016,8.0,1,23990,0,1993.0,0,30000.0,60000.0,SP,SP,credit_card,3.0,4.0
2018-01-14 14:33:31.0000000,2018-01-22 13:19:16.0000000,2018-02-05,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000008,6.0,1,19900,0,1787.0,0,3050.0,14157.0,MG,MG,credit_card,5.0,5.0
2018-08-08 10:00:35.0000000,2018-08-14 13:32:39.0000000,2018-08-20,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000006,4.0,1,1299,0,1279.0,0,200.0,2400.0,SP,SP,credit_card,2.0,4.0
2017-02-04 13:57:51.0000000,2017-03-01 16:42:31.0000000,2017-03-17,1970-01-01 00:00:00.000000041,1970-01-01 00:00:00.000000025,13.0,1,19990,0,1814.0,0,3750.0,42000.0,SP,PR,credit_card,3.0,5.0
2017-05-15 21:42:34.0000000,2017-05-22 13:44:35.0000000,2017-06-06,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000007,5.0,1,2190,0,1269.0,0,450.0,2880.0,MG,SP,boleto,1.0,4.0
2017-12-10 11:53:48.0000000,2017-12-18 22:03:38.0000000,2018-01-04,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000008,6.0,1,1990,0,1185.0,0,200.0,2700.0,SP,SP,credit_card,1.0,4.0
2018-07-04 12:08:27.0000000,2018-07-09 14:04:07.0000000,2018-07-25,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000005,4.0,1,81000,0,7075.0,0,13805.0,118125.0,SP,SP,credit_card,10.0,5.0
2018-03-19 18:40:33.0000000,2018-03-29 18:17:31.0000000,2018-03-29,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000010,1.0,0,14595,0,1165.0,0,2000.0,5760.0,SP,SP,credit_card,3.0,1.0
2018-07-02 13:59:39.0000000,2018-07-04 17:28:31.0000000,2018-07-23,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000002,1.0,1,5399,0,1140.0,0,850.0,1827.0,SP,SP,credit_card,1.0,4.0
2018-03-24 22:16:10.0000000,2018-03-29 00:04:19.0000000,2018-04-09,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000005,2.0,1,5999,0,888.0,0,950.0,17500.0,SP,SP,credit_card,3.0,5.0
2018-07-27 17:21:27.0000000,2018-08-07 13:56:52.0000000,2018-08-07,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000011,8.0,0,4500,0,1298.0,0,200.0,2816.0,SP,SP,credit_card,5.0,5.0
2018-07-24 17:04:17.0000000,2018-07-31 01:04:15.0000000,2018-08-22,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000007,6.0,1,7400,0,2332.0,0,1383.0,20000.0,RJ,SP,credit_card,4.0,5.0
2018-02-13 22:10:21.0000000,2018-02-26 13:55:22.0000000,2018-03-06,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000013,6.0,1,4990,0,2674.0,0,1650.0,19800.0,SP,SP,boleto,1.0,5.0
2018-08-14 20:43:09.0000000,2018-08-22 12:02:27.0000000,2018-08-28,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000008,7.0,1,9990,0,2765.0,0,1050.0,24000.0,MG,PR,boleto,1.0,5.0
2018-04-25 09:10:41.0000000,2018-04-30 17:54:25.0000000,2018-05-09,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000005,3.0,1,63900,0,1134.0,0,200.0,960.0,SP,SP,credit_card,6.0,4.0
2018-05-11 20:33:38.0000000,2018-05-18 16:46:31.0000000,2018-05-22,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000007,2.0,1,14400,0,877.0,0,468.0,7866.0,SP,SP,credit_card,1.0,1.0
2017-08-12 10:08:57.0000000,2017-08-19 15:22:17.0000000,2017-09-01,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000007,4.0,1,9900,0,1371.0,0,1800.0,4096.0,SP,SP,boleto,1.0,5.0
2018-02-22 11:54:42.0000000,2018-03-12 18:46:34.0000000,2018-03-19,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000018,14.0,1,2500,0,1611.0,0,600.0,8400.0,SP,SC,credit_card,4.0,3.0
2018-03-23 19:48:26.0000000,2018-03-27 14:51:47.0000000,2018-04-05,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000004,1.0,1,4790,0,888.0,0,800.0,8000.0,SP,SP,credit_card,1.0,3.0
2017-11-21 18:54:23.0000000,2017-12-09 17:27:23.0000000,2017-12-07,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000018,17.0,0,2199,0,1185.0,0,300.0,816.0,SP,SP,credit_card,3.0,3.0
2018-03-07 10:33:13.0000000,2018-03-22 16:51:52.0000000,2018-04-11,1970-01-01 00:00:00.000000035,1970-01-01 00:00:00.000000015,6.0,1,11999,0,4440.0,0,9375.0,56430.0,RJ,SP,credit_card,1.0,4.0
2018-02-27 09:27:14.0000000,2018-03-08 20:06:33.0000000,2018-03-23,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000009,9.0,1,4900,0,1510.0,0,250.0,640.0,PR,SP,credit_card,3.0,4.0
2017-09-11 17:39:33.0000000,2017-09-23 13:21:21.0000000,2017-09-27,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000012,11.0,1,4890,0,1660.0,0,1800.0,5780.0,RJ,SP,credit_card,3.0,5.0
2017-08-06 00:42:49.0000000,2017-08-16 17:29:59.0000000,2017-08-31,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000010,9.0,1,21990,0,1698.0,0,9800.0,44100.0,RJ,PR,credit_card,6.0,5.0
2018-01-16 21:43:23.0000000,2018-01-26 22:14:02.0000000,2018-02-15,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000010,3.0,1,28900,0,2633.0,0,2965.0,37638.0,SP,SP,credit_card,2.0,4.0
2017-03-23 12:21:17.0000000,2017-04-07 15:32:47.0000000,2017-04-20,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000015,11.0,1,10990,0,2551.0,0,2500.0,40467.0,GO,SP,credit_card,1.0,5.0
2018-06-11 21:17:00.0000000,2018-06-13 15:28:25.0000000,2018-06-20,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000002,1.0,1,2790,0,794.0,0,150.0,2873.0,SP,SP,boleto,1.0,5.0
